NAME,POP,FIPS
"Glasscock, Texas, US",1409,48173
"Grimes, Texas, US",28880,48185
"Angelina, Texas, US",86715,48005
"Hays, Texas, US",230191,48209
"Brazoria, Texas, US",374264,48039
"Donley, Texas, US",3278,48129
"Atascosa, Texas, US",51153,48013
"Nolan, Texas, US",14714,48353
"Parmer, Texas, US",9605,48369
"Parker, Texas, US",142878,48367
"Presidio, Texas, US",6704,48377
"Val Verde, Texas, US",49025,48465
"Culberson, Texas, US",2171,48109
"Collin, Texas, US",1034730,48085
"Cottle, Texas, US",1398,48101
"Hudspeth, Texas, US",4886,48229
"Harrison, Texas, US",66553,48203
"Menard, Texas, US",2138,48327
"Fayette, Texas, US",25346,48149
"Hutchinson, Texas, US",20938,48233
"Morris, Texas, US",12388,48343
"Orange, Texas, US",83396,48361
"Harris, Texas, US",4713325,48201
"Gillespie, Texas, US",26988,48171
"Dallas, Texas, US",2635516,48113
"McMullen, Texas, US",743,48311
"Johnson, Texas, US",175817,48251
"Hopkins, Texas, US",37084,48223
"Ochiltree, Texas, US",9836,48357
"McLennan, Texas, US",256623,48309
"Concho, Texas, US",2726,48095
"Edwards, Texas, US",1932,48137
"Eastland, Texas, US",18360,48133
"Jeff Davis, Texas, US",2274,48243
"Jim Hogg, Texas, US",5200,48247
"Montgomery, Texas, US",607391,48339
"Dimmit, Texas, US",10124,48127
"Armstrong, Texas, US",1887,48011
"Cooke, Texas, US",41257,48097
"Crosby, Texas, US",5737,48107
"Fisher, Texas, US",3830,48151
"Duval, Texas, US",11157,48131
"Blanco, Texas, US",11931,48031
"Jasper, Texas, US",35529,48241
"Jefferson, Texas, US",251565,48245
"Kinney, Texas, US",3667,48271
"Ward, Texas, US",11998,48475
"Williamson, Texas, US",590551,48491
"Winkler, Texas, US",8010,48495
"Young, Texas, US",18010,48503
"Webb, Texas, US",276652,48479
"Burnet, Texas, US",48155,48053
"Castro, Texas, US",7530,48069
"Knox, Texas, US",3664,48275
"Kleberg, Texas, US",30680,48273
"Oldham, Texas, US",2112,48359
"Lamb, Texas, US",12893,48279
"Lipscomb, Texas, US",3233,48295
"McCulloch, Texas, US",7984,48307
"Montgomery, Illinois, US",28414,17135
"Whiteside, Illinois, US",55175,17195
"Adams, Illinois, US",65435,17001
"Clinton, Illinois, US",37562,17027
"DeKalb, Illinois, US",104897,17037
"Edwards, Illinois, US",6395,17047
"Jasper, Illinois, US",9610,17079
"Jefferson, Illinois, US",37684,17081
"Vermilion, Illinois, US",75758,17183
"Will, Illinois, US",690743,17197
"Williamson, Illinois, US",66597,17199
"Clark, Illinois, US",15441,17023
"Douglas, Illinois, US",19465,17041
"Effingham, Illinois, US",34008,17049
"Fulton, Illinois, US",34340,17057
"Greene, Illinois, US",12969,17061
"Hamilton, Illinois, US",8116,17065
"Hardin, Illinois, US",3821,17069
"Henry, Illinois, US",48913,17073
"Johnson, Illinois, US",12417,17087
"Knox, Illinois, US",49699,17095
"Cape Girardeau, Missouri, US",78871,29031
"Pontotoc, Oklahoma, US",38284,40123
"Roger Mills, Oklahoma, US",3583,40129
"Woodward, Oklahoma, US",20211,40153
"Cherokee, Oklahoma, US",48657,40021
"Delaware, Oklahoma, US",43009,40041
"Ellis, Oklahoma, US",3859,40045
"Grady, Oklahoma, US",55834,40051
"Payne, Oklahoma, US",81784,40119
"Pottawatomie, Oklahoma, US",72592,40125
"Creek, Oklahoma, US",71522,40037
"Tillman, Oklahoma, US",7250,40141
"Washita, Oklahoma, US",10916,40149
"Cotton, Oklahoma, US",5666,40033
"Kiowa, Oklahoma, US",8708,40075
"Le Flore, Oklahoma, US",49853,40079
"McCurtain, Oklahoma, US",32832,40089
"Major, Oklahoma, US",7629,40093
"Mayes, Oklahoma, US",41100,40097
"Oklahoma, Oklahoma, US",797434,40109
"Custer, Oklahoma, US",29003,40039
"Love, Oklahoma, US",10253,40085
"Beckham, Oklahoma, US",21859,40009
"Choctaw, Oklahoma, US",14672,40023
"Jackson, Oklahoma, US",24530,40065
"Lincoln, Oklahoma, US",34877,40081
"Pawnee, Oklahoma, US",16376,40117
"Seminole, Oklahoma, US",24258,40133
"Cimarron, Oklahoma, US",2137,40025
"Blaine, Oklahoma, US",9429,40011
"Coal, Oklahoma, US",5495,40029
"Grant, Oklahoma, US",4333,40053
"Kingfisher, Oklahoma, US",15765,40073
"McClain, Oklahoma, US",40474,40087
"Marshall, Oklahoma, US",16931,40095
"Noble, Oklahoma, US",11131,40103
"Nowata, Oklahoma, US",10076,40105
"Rogers, Oklahoma, US",92459,40131
"Sequoyah, Oklahoma, US",41569,40135
"Alfalfa, Oklahoma, US",5702,40003
"Woods, Oklahoma, US",8793,40151
"Cleveland, Oklahoma, US",284014,40027
"Okfuskee, Oklahoma, US",11993,40107
"St. Charles, Missouri, US",402022,29183
"Atoka, Oklahoma, US",13758,40005
"Union, Oregon, US",26835,41061
"Marion, Oregon, US",347818,41047
"Douglas, Oregon, US",110980,41019
"Jefferson, Oregon, US",24658,41031
"Polk, Oregon, US",86085,41053
"Deschutes, Oregon, US",197692,41017
"Mason, Texas, US",4274,48319
"Dickens, Texas, US",2211,48125
"Lee, Texas, US",17239,48287
"Tarrant, Texas, US",2102515,48439
"Anderson, Texas, US",57735,48001
"Ellis, Texas, US",184826,48139
"Jackson, Texas, US",14760,48239
"Kerr, Texas, US",52600,48265
"Milam, Texas, US",24823,48331
"Comanche, Texas, US",13635,48093
"Falls, Texas, US",17297,48145
"Brooks, Texas, US",7093,48047
"Austin, Texas, US",30032,48015
"Kenedy, Texas, US",404,48261
"Colorado, Texas, US",21493,48089
"San Patricio, Texas, US",66730,48409
"Randall, Texas, US",137713,48381
"San Saba, Texas, US",6055,48411
"Schleicher, Texas, US",2793,48413
"Zavala, Texas, US",11840,48507
"Calhoun, Texas, US",21290,48057
"Foard, Texas, US",1155,48155
"Goliad, Texas, US",7658,48175
"Hamilton, Texas, US",8461,48193
"Mitchell, Texas, US",8545,48335
"Titus, Texas, US",32750,48449
"Lavaca, Texas, US",20154,48285
"Terry, Texas, US",12337,48445
"Wise, Texas, US",69984,48497
"Matagorda, Texas, US",36643,48321
"Pecos, Texas, US",15823,48371
"Rockwall, Texas, US",104915,48397
"Taylor, Texas, US",138034,48441
"Throckmorton, Texas, US",1501,48447
"Walker, Texas, US",72971,48471
"Wood, Texas, US",45539,48499
"Aransas, Texas, US",23510,48007
"Cochran, Texas, US",2853,48079
"Coke, Texas, US",3387,48081
"Coryell, Texas, US",75951,48099
"Hemphill, Texas, US",3819,48211
"Moore, Texas, US",20940,48341
"Potter, Texas, US",117415,48375
"San Augustine, Texas, US",8237,48405
"Shackelford, Texas, US",3265,48417
"Starr, Texas, US",64633,48427
"Upton, Texas, US",3657,48461
"Brown, Texas, US",37864,48049
"Hall, Texas, US",2964,48191
"Franklin, Texas, US",10725,48159
"Frio, Texas, US",20306,48163
"Lampasas, Texas, US",21428,48281
"Orleans, Vermont, US",27037,50019
"Grand Isle, Vermont, US",7235,50013
"Chittenden, Vermont, US",163774,50007
"Lamoille, Vermont, US",25362,50015
"Franklin, Vermont, US",49402,50011
"Caledonia, Vermont, US",29993,50005
"Windham, Vermont, US",42222,50025
"Bennington, Vermont, US",35470,50003
"Monroe, Alabama, US",20733,01099
"Windham, Connecticut, US",116782,09015
"New London, Connecticut, US",265206,09011
"Middlesex, Connecticut, US",162436,09007
"Tolland, Connecticut, US",150721,09013
"Fairfield, Connecticut, US",943332,09001
"Washington, Florida, US",25473,12133
"Duval, Florida, US",957755,12031
"Bradford, Florida, US",28201,12007
"Brevard, Florida, US",601942,12009
"Clay, Florida, US",219252,12019
"Lafayette, Florida, US",8422,12067
"Lake, Florida, US",367118,12069
"Nassau, Florida, US",88625,12089
"Pinellas, Florida, US",974996,12103
"Polk, Florida, US",724777,12105
"St. Lucie, Florida, US",328297,12111
"Glades, Florida, US",13811,12043
"Hendry, Florida, US",42022,12051
"Indian River, Florida, US",159923,12061
"Jackson, Florida, US",46414,12063
"St. Johns, Florida, US",264672,12109
"Seminole, Florida, US",471826,12117
"Bay, Florida, US",174705,12005
"Flagler, Florida, US",115081,12035
"Gulf, Florida, US",13639,12045
"Liberty, Florida, US",8354,12077
"Osceola, Florida, US",375751,12097
"Walton, Florida, US",74071,12131
"Gadsden, Florida, US",45660,12039
"Jefferson, Florida, US",14246,12065
"Marion, Florida, US",365579,12083
"Hardee, Florida, US",26937,12049
"Okeechobee, Florida, US",42168,12093
"Orange, Florida, US",1393452,12095
"Gilchrist, Florida, US",18582,12041
"Suwannee, Florida, US",44417,12121
"Alachua, Florida, US",269043,12001
"Calhoun, Florida, US",14105,12013
"Charlotte, Florida, US",188910,12015
"Dixie, Florida, US",16826,12029
"Martin, Florida, US",161000,12085
"Sarasota, Florida, US",433742,12115
"Manatee, Florida, US",403253,12081
"Yamhill, Oregon, US",107100,41071
"Baker, Oregon, US",16124,41001
"Klamath, Oregon, US",68238,41035
"Lincoln, Oregon, US",49962,41041
"Benton, Oregon, US",93053,41003
"Crook, Oregon, US",24404,41013
"Sherman, Oregon, US",1780,41055
"Harney, Oregon, US",7393,41025
"Malheur, Oregon, US",30571,41045
"Wallowa, Oregon, US",7208,41063
"Wheeler, Oregon, US",1332,41069
"Morrow, Oregon, US",11603,41049
"Coos, Oregon, US",64487,41011
"Curry, Oregon, US",22925,41015
"Gilliam, Oregon, US",1912,41021
"Hood River, Oregon, US",23382,41027
"Lake, Oregon, US",7869,41037
"Multnomah, Oregon, US",812855,41051
"Pike, Pennsylvania, US",55809,42103
"Snyder, Pennsylvania, US",40372,42109
"Susquehanna, Pennsylvania, US",40328,42115
"Crawford, Pennsylvania, US",84629,42039
"Erie, Pennsylvania, US",269728,42049
"Fulton, Pennsylvania, US",14530,42057
"Juniata, Pennsylvania, US",24763,42067
"Schuylkill, Pennsylvania, US",141359,42107
"Wyoming, Pennsylvania, US",26794,42131
"Adams, Pennsylvania, US",103009,42001
"Armstrong, Pennsylvania, US",64735,42005
"Clinton, Pennsylvania, US",38632,42035
"Carbon, Pennsylvania, US",64182,42025
"Centre, Pennsylvania, US",162385,42027
"Northumberland, Pennsylvania, US",90843,42097
"Northampton, Pennsylvania, US",305285,42095
"Venango, Pennsylvania, US",50668,42121
"Beaver, Pennsylvania, US",163929,42007
"Lackawanna, Pennsylvania, US",209674,42069
"McKean, Pennsylvania, US",40625,42083
"Fayette, Pennsylvania, US",129274,42051
"Montgomery, Pennsylvania, US",830915,42091
"Clearfield, Pennsylvania, US",79255,42033
"Lebanon, Pennsylvania, US",141793,42075
"Lycoming, Pennsylvania, US",113299,42081
"Linn, Oregon, US",129749,41043
"Montour, Pennsylvania, US",18230,42093
"Warren, Pennsylvania, US",39191,42123
"Butler, Pennsylvania, US",187853,42019
"Elk, Pennsylvania, US",29910,42047
"Lancaster, Pennsylvania, US",545724,42071
"Mercer, Pennsylvania, US",109424,42085
"Addison, Vermont, US",36777,50001
"Essex, Vermont, US",6163,50009
"Washington, Vermont, US",58409,50023
"Washington, Utah, US",177556,49053
"Summit, Utah, US",42145,49043
"Millard, Utah, US",13188,49027
"Tooele, Utah, US",72259,49045
"Kane, Utah, US",7886,49025
"Grand, Utah, US",9754,49019
"Piute, Utah, US",1479,49031
"Rich, Utah, US",2483,49033
"Wasatch, Utah, US",34091,49051
"Beaver, Utah, US",6710,49001
"Box Elder, Utah, US",56046,49003
"Iron, Utah, US",54839,49021
"Sanpete, Utah, US",30939,49039
"Sevier, Utah, US",21620,49041
"Weber, Utah, US",260213,49057
"San Juan, Utah, US",15308,49037
"Salt Lake, Utah, US",1160437,49035
"Daggett, Utah, US",950,49009
"Wayne, Utah, US",2711,49055
"Carbon, Utah, US",20463,49007
"Morgan, Utah, US",12124,49029
"Cache, Utah, US",128289,49005
"Juab, Utah, US",12017,49023
"James City, Virginia, US",76523,51095
"Charlottesville city, Virginia, US",47266,51540
"Campbell, Virginia, US",54885,51031
"Henrico, Virginia, US",330818,51087
"King George, Virginia, US",26836,51099
"Lancaster, Virginia, US",10603,51103
"Lee, Virginia, US",23423,51105
"Mathews, Virginia, US",8834,51115
"Middlesex, Virginia, US",10582,51119
"Richmond, Virginia, US",9023,51159
"Russell, Virginia, US",26586,51167
"Smyth, Virginia, US",30104,51173
"Prince George, Virginia, US",38353,51149
"Scott, Virginia, US",21566,51169
"Spotsylvania, Virginia, US",136215,51177
"Appomattox, Virginia, US",15911,51011
"Franklin, Virginia, US",56042,51067
"King and Queen, Virginia, US",7025,51097
"Montgomery, Virginia, US",98535,51121
"New Kent, Virginia, US",23091,51127
"Cumberland, Virginia, US",9932,51049
"Dickenson, Virginia, US",14318,51051
"Halifax, Virginia, US",33911,51083
"Loudoun, Virginia, US",413538,51107
"Prince William, Virginia, US",470335,51153
"Southampton, Virginia, US",17631,51175
"Highland, Virginia, US",2190,51091
"Caroline, Virginia, US",30725,51033
"Gloucester, Virginia, US",37348,51073
"Patrick, Virginia, US",17608,51141
"Powhatan, Virginia, US",29652,51145
"Shenandoah, Virginia, US",43616,51171
"Fauquier, Virginia, US",71222,51061
"Calloway, Kentucky, US",39001,21035
"Casey, Kentucky, US",16159,21045
"Christian, Kentucky, US",70461,21047
"Daviess, Kentucky, US",101511,21059
"Grayson, Kentucky, US",26427,21085
"Henderson, Kentucky, US",45210,21101
"Henry, Kentucky, US",16126,21103
"Hopkins, Kentucky, US",44686,21107
"Jackson, Kentucky, US",13329,21109
"Laurel, Kentucky, US",60813,21125
"Marshall, Kentucky, US",31100,21157
"Meade, Kentucky, US",28572,21163
"Montgomery, Kentucky, US",28157,21173
"Nicholas, Kentucky, US",7269,21181
"Oldham, Kentucky, US",66799,21185
"Owen, Kentucky, US",10901,21187
"Rockcastle, Kentucky, US",16695,21203
"Scott, Kentucky, US",57004,21209
"Warren, Kentucky, US",132896,21227
"Allen, Kentucky, US",21315,21003
"Bourbon, Kentucky, US",19788,21017
"Bullitt, Kentucky, US",81676,21029
"Crittenden, Kentucky, US",8806,21055
"Fulton, Kentucky, US",5969,21075
"Knott, Kentucky, US",14806,21119
"Menifee, Kentucky, US",6489,21165
"Muhlenberg, Kentucky, US",30622,21177
"Perry, Kentucky, US",25758,21193
"Wolfe, Kentucky, US",7157,21237
"Clay, Kentucky, US",19901,21051
"Bell, Kentucky, US",26032,21013
"Cumberland, Kentucky, US",6614,21057
"Graves, Kentucky, US",37266,21083
"Lee, Kentucky, US",7403,21129
"Butler, Kentucky, US",12879,21031
"Edmonson, Kentucky, US",12150,21061
"Lawrence, Alabama, US",32924,01079
"Lee, Alabama, US",164542,01081
"Marion, Alabama, US",29709,01093
"Pickens, Alabama, US",19930,01107
"Sumter, Alabama, US",12427,01119
"Jefferson, Alabama, US",658573,01073
"Choctaw, Alabama, US",12589,01023
"Franklin, Alabama, US",31362,01059
"Marengo, Alabama, US",18863,01091
"Russell, Alabama, US",57961,01113
"Cherokee, Alabama, US",26196,01019
"Covington, Alabama, US",37049,01039
"Crenshaw, Alabama, US",13772,01041
"Dallas, Alabama, US",37196,01047
"Lauderdale, Alabama, US",92729,01077
"Lowndes, Alabama, US",9726,01085
"Macon, Alabama, US",18068,01087
"Limestone, Alabama, US",98915,01083
"Shelby, Alabama, US",217702,01117
"Winston, Alabama, US",23629,01133
"Baldwin, Alabama, US",223234,01003
"Elmore, Alabama, US",81209,01051
"Jackson, Alabama, US",51626,01071
"Talladega, Alabama, US",79978,01121
"Washington, Alabama, US",16326,01129
"Clay, Alabama, US",13235,01027
"Morgan, Alabama, US",119679,01103
"Pike, Alabama, US",33114,01109
"Colbert, Alabama, US",55241,01033
"Dale, Alabama, US",49172,01045
"Hale, Alabama, US",14651,01065
"DeKalb, Alabama, US",71513,01049
"Escambia, Alabama, US",36633,01053
"Randolph, Alabama, US",22722,01111
"Mobile, Alabama, US",413210,01097
"Perry, Alabama, US",8923,01105
"Cleburne, Alabama, US",14910,01029
"Conecuh, Alabama, US",12067,01035
"Barbour, Alabama, US",24686,01005
"Bibb, Alabama, US",22394,01007
"Calhoun, Alabama, US",113605,01015
"Clarke, Alabama, US",23622,01025
"Fayette, Alabama, US",16302,01057
"Douglas, Minnesota, US",38141,27041
"Grant, Minnesota, US",5972,27051
"Kittson, Minnesota, US",4298,27069
"Le Sueur, Minnesota, US",28887,27079
"Mahnomen, Minnesota, US",5527,27087
"Chisago, Minnesota, US",56579,27025
"Redwood, Minnesota, US",15170,27127
"Yellow Medicine, Minnesota, US",9709,27173
"Todd, Minnesota, US",24664,27153
"Beltrami, Minnesota, US",47188,27007
"Blue Earth, Minnesota, US",67653,27013
"Houston, Minnesota, US",18600,27055
"Lac qui Parle, Minnesota, US",6623,27073
"Lake of the Woods, Minnesota, US",3740,27077
"Otter Tail, Minnesota, US",58746,27111
"Waseca, Minnesota, US",18612,27161
"Citrus, Florida, US",149657,12017
"Baker, Florida, US",29210,12003
"Santa Rosa, Florida, US",184313,12113
"Leon, Florida, US",293582,12073
"Broward, Florida, US",1952778,12011
"Monroe, Florida, US",74228,12087
"Hernando, Florida, US",193920,12053
"Hillsborough, Florida, US",1471968,12057
"Taylor, Florida, US",21569,12123
"Wakulla, Florida, US",33739,12129
"McDuffie, Georgia, US",21312,13189
"Morgan, Georgia, US",19276,13211
"Heard, Georgia, US",11923,13149
"Dougherty, Georgia, US",87956,13095
"Fannin, Georgia, US",26188,13111
"Houston, Georgia, US",157863,13153
"Laurens, Georgia, US",47546,13175
"Spalding, Georgia, US",66703,13255
"Telfair, Georgia, US",15860,13271
"Union, Georgia, US",24511,13291
"White, Arkansas, US",78753,05145
"Lake, California, US",64386,06033
"Yuba, California, US",78668,06115
"Lassen, California, US",30573,06035
"Sonoma, California, US",494336,06097
"Imperial, California, US",181215,06025
"Alameda, California, US",1671329,06001
"Napa, California, US",137744,06055
"Sierra, California, US",3005,06091
"Yolo, California, US",220500,06113
"Nevada, California, US",99755,06057
"Mendocino, California, US",86749,06045
"Los Angeles, California, US",10039107,06037
"Santa Clara, California, US",1927852,06085
"Siskiyou, California, US",43539,06093
"Del Norte, California, US",27812,06015
"Chaffee, Colorado, US",20356,08015
"Garfield, Colorado, US",60061,08045
"Jefferson, Colorado, US",582881,08059
"Rio Blanco, Colorado, US",6324,08103
"Conejos, Colorado, US",8205,08021
"Adams, Colorado, US",517421,08001
"Eagle, Colorado, US",55127,08037
"Moffat, Colorado, US",13283,08081
"Cheyenne, Colorado, US",1831,08017
"Dolores, Colorado, US",2055,08033
"Jackson, Colorado, US",1392,08057
"Montezuma, Colorado, US",26183,08083
"Boulder, Colorado, US",326196,08013
"Yuma, Colorado, US",10019,08125
"Routt, Colorado, US",25638,08107
"Clear Creek, Colorado, US",9700,08019
"Pueblo, Colorado, US",168424,08101
"Park, Colorado, US",18845,08093
"Mesa, Colorado, US",154210,08077
"El Paso, Colorado, US",720403,08041
"Arapahoe, Colorado, US",656590,08005
"New Castle, Delaware, US",558753,10003
"Kent, Delaware, US",180786,10001
"Potter, Pennsylvania, US",16526,42105
"Tioga, Pennsylvania, US",40591,42117
"Newport, Rhode Island, US",82082,44005
"Providence, Rhode Island, US",638931,44007
"Bristol, Rhode Island, US",48479,44001
"Aiken, South Carolina, US",170872,45003
"Allendale, South Carolina, US",8688,45005
"Edgefield, South Carolina, US",27260,45037
"Chester, South Carolina, US",32244,45023
"Colleton, South Carolina, US",37677,45029
"Marion, South Carolina, US",30657,45067
"Lexington, South Carolina, US",298750,45063
"Oconee, South Carolina, US",79546,45073
"Berkeley, South Carolina, US",227907,45015
"Charleston, South Carolina, US",411406,45019
"Georgetown, South Carolina, US",62680,45043
"Marlboro, South Carolina, US",26118,45069
"Anderson, South Carolina, US",202558,45007
"Chesterfield, South Carolina, US",45650,45025
"Greenwood, South Carolina, US",70811,45047
"Horry, South Carolina, US",354081,45051
"Kershaw, South Carolina, US",66551,45055
"Orangeburg, South Carolina, US",86175,45075
"Spartanburg, South Carolina, US",319785,45083
"Bamberg, South Carolina, US",14066,45009
"Beaufort, South Carolina, US",192122,45013
"Calhoun, South Carolina, US",14553,45017
"Dillon, South Carolina, US",30479,45033
"Saluda, South Carolina, US",20473,45081
"Richland, South Carolina, US",415759,45079
"Fairfield, South Carolina, US",22347,45039
"Hampton, South Carolina, US",19222,45049
"Greenville, South Carolina, US",523542,45045
"Lancaster, South Carolina, US",98012,45057
"Dorchester, South Carolina, US",162809,45035
"Florence, South Carolina, US",138293,45041
"Laurens, South Carolina, US",67493,45059
"McCormick, South Carolina, US",9463,45065
"Pickens, South Carolina, US",126884,45077
"Union, South Carolina, US",27316,45087
"Williamsburg, South Carolina, US",30368,45089
"Aurora, South Dakota, US",2751,46003
"Grant, South Dakota, US",7052,46051
"Tripp, South Dakota, US",5441,46123
"Ziebach, South Dakota, US",2756,46137
"Spink, South Dakota, US",6376,46115
"Bon Homme, South Dakota, US",6901,46009
"Brookings, South Dakota, US",35077,46011
"Staunton city, Virginia, US",24932,51790
"Knox, Missouri, US",3959,29103
"Montgomery, Missouri, US",11551,29139
"Stoddard, Missouri, US",29025,29207
"Audrain, Missouri, US",25388,29007
"Greene, Missouri, US",293086,29077
"St. Clair, Missouri, US",9397,29185
"Schuyler, Missouri, US",4660,29197
"Camden, Missouri, US",46305,29029
"Jefferson, Missouri, US",225081,29099
"New Madrid, Missouri, US",17076,29143
"Ralls, Missouri, US",10309,29173
"Custer, Montana, US",11402,30017
"Powder River, Montana, US",1682,30075
"Roosevelt, Montana, US",11004,30085
"Liberty, Montana, US",2337,30051
"Richland, Montana, US",10803,30083
"Toole, Montana, US",4736,30101
"Daniels, Montana, US",1690,30019
"Harrison, Kentucky, US",18886,21097
"Bracken, Kentucky, US",8303,21023
"Nelson, Kentucky, US",46233,21179
"Wayne, Kentucky, US",20333,21231
"Marion, Kentucky, US",19273,21155
"Trigg, Kentucky, US",14651,21221
